timestamp,airline,return_airline,origin,destination,departure_date,return_date,departure_time,arrival_time,return_departure_time,return_arrival_time,outbound_layovers,return_layovers,stops,duration,price,currency,is_lowest,search_url,booking_token
2026-04-23T02:36:02.705380+00:00,BR (EVA Air),BR (EVA Air),TPE,KIX,2026-11-22,2026-11-29,2026-11-22 08:42,2026-11-22 21:33,2026-11-29 10:27,2026-11-29 23:38,,,0,12h50m,32821,TWD,False,https://www.google.com/search?q=flights+from+TPE+to+KIX+on+2026-11-22+to+2026-11-29,mock_token_4936
2026-04-23T02:36:16.844162+00:00,BR (EVA Air),CI (China Airlines),TPE,KIX,2026-11-22,2026-11-29,2026-11-22 08:48,2026-11-22 21:40,2026-11-29 10:33,2026-11-29 23:25,,HKG,2,15h32m,25753,TWD,True,https://www.google.com/search?q=flights+from+TPE+to+KIX+on+2026-11-22+to+2026-11-29,mock_token_6460
2026-04-23T02:45:42.872052+00:00,台灣虎航,,TPE,KIX,2026-11-22,2026-11-29,2026-11-22 14:40,2026-11-22 17:55,,,,,0,2h15m,9266,TWD,True,https://www.google.com/travel/flights,
2026-04-23T03:38:24.831008+00:00,台灣虎航,,TPE,KIX,2026-11-22,2026-11-29,2026-11-22 14:40,2026-11-22 17:55,,,,,0,2h15m,8719,TWD,True,https://www.google.com/travel/flights,
2026-04-23T05:42:27.255743+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-23T13:44:18.219585+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-23T23:51:54.951318+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-24T05:54:41.978908+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-24T13:25:36.148925+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-24T23:43:04.359543+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-25T05:27:01.008688+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-25T13:06:25.641046+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
2026-04-25T22:28:01.852128+00:00,台灣虎航,,TPE,KIX,2026-11-21,2026-11-29,2026-11-20 14:40,2026-11-20 17:55,,,,,0,2h15m,8719,TWD,False,https://www.google.com/travel/flights,
